GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,JdbcProtocol,472,0,86,0,14,0,70,0,27,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,WebsocketProtocol,128,0,22,0,6,0,22,0,11,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,MongodbProtocol,343,0,62,0,11,0,52,0,21,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,SshProtocol,435,0,78,0,13,0,64,0,25,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,IcmpProtocol.IcmpProtocolBuilder,27,0,0,0,1,0,5,0,5,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,NginxProtocol,233,0,38,0,9,0,35,0,16,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,SmtpProtocol.SmtpProtocolBuilder,54,0,0,0,1,0,8,0,8,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,NtpProtocol.NtpProtocolBuilder,36,0,0,0,1,0,6,0,6,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,RocketmqProtocol,257,0,46,0,9,0,40,0,17,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,DnsProtocol,286,0,46,0,10,0,41,0,18,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,FtpProtocol.FtpProtocolBuilder,63,0,0,0,1,0,9,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,PushProtocol.PushProtocolBuilder,45,0,0,0,1,0,7,0,7,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,RedisProtocol.RedisProtocolBuilder,63,0,0,0,1,0,9,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,PrometheusProtocol,478,0,86,0,14,0,70,0,27,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,IcmpProtocol,128,0,22,0,6,0,22,0,11,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,MongodbProtocol.MongodbProtocolBuilder,72,0,0,0,1,0,10,0,10,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,NtpProtocol,171,0,30,0,7,0,28,0,13,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,Pop3Protocol.Pop3ProtocolBuilder,63,0,0,0,1,0,9,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,DnsProtocol.DnsProtocolBuilder,54,0,0,0,1,0,8,0,8,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,PushProtocol,220,0,38,0,8,0,34,0,15,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,JmxProtocol,349,0,62,0,11,0,52,0,21,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,PrometheusProtocol.PrometheusProtocolBuilder,99,0,0,0,1,0,13,0,13,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job.protocol,MemcachedProtocol.MemcachedProtocolBuilder,27,0,0,0,1,0,5,0,5,0
hertzbeat-common,org.dromara.hertzbeat.common.serialize,AlertSerializer,25,0,2,0,9,0,6,0,5,0
hertzbeat-common,org.dromara.hertzbeat.common.serialize,KafkaMetricsDataSerializer,20,0,0,0,7,0,5,0,5,0
hertzbeat-common,org.dromara.hertzbeat.common.serialize,KafkaMetricsDataDeserializer,27,0,0,0,9,0,5,0,5,0
hertzbeat-common,org.dromara.hertzbeat.common.serialize,AlertDeserializer,26,0,0,0,7,0,5,0,5,0
hertzbeat-common,org.dromara.hertzbeat.common.support.event,SystemConfigChangeEvent,4,0,0,0,2,0,1,0,1,0
hertzbeat-common,org.dromara.hertzbeat.common.support.event,MonitorDeletedEvent,10,0,0,0,4,0,2,0,2,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job,Metrics.Field,275,0,40,0,10,0,39,0,19,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job,Job,894,0,122,0,72,0,113,0,52,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job,Configmap,160,0,24,0,7,0,25,0,13,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job,Metrics,540,0,20,0,62,0,87,0,77,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job,Configmap.ConfigmapBuilder,36,0,0,0,1,0,6,0,6,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job,Job.JobBuilder,171,0,0,0,1,0,21,0,21,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job,Metrics.MetricsBuilder,315,0,0,0,1,0,37,0,37,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.job,Metrics.Field.FieldBuilder,63,0,0,0,1,0,9,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,PromVectorOrMatrix.Result,170,0,30,0,7,0,27,0,12,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,MetricsData,300,0,54,0,10,0,46,0,19,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,PromVectorOrMatrix.Data,126,0,22,0,6,0,21,0,10,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,CollectorInfo.CollectorInfoBuilder,36,0,0,0,1,0,6,0,6,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,Field.FieldBuilder,45,0,0,0,1,0,7,0,7,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,CollectorInfo,177,0,30,0,8,0,28,0,13,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,Value.ValueBuilder,63,0,0,0,1,0,9,0,9,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,ValueRow.ValueRowBuilder,27,0,0,0,1,0,5,0,5,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,AlertReport.AlertReportBuilder,90,0,0,0,1,0,12,0,12,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,CollectorSummary.CollectorSummaryBuilder,36,0,0,0,1,0,6,0,6,0
hertzbeat-common,org.dromara.hertzbeat.common.entity.dto,MetricsHistoryData,257,0,46,0,9,0,40,0,17,0
