GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hertzbeat-collector,org.dromara.hertzbeat.collector.collect.database,JdbcSpiLoader,40,0,0,0,14,0,3,0,3,0
hertzbeat-collector,org.dromara.hertzbeat.collector.collect.common.ssh,CommonSshClient,48,0,0,0,16,0,3,0,3,0
hertzbeat-collector,org.dromara.hertzbeat.collector.collect.websocket,WebsocketCollectImpl,345,0,22,0,92,0,19,0,8,0
hertzbeat-collector,org.dromara.hertzbeat.collector.collect.strategy,CollectStrategyFactory,36,0,2,0,8,0,5,0,4,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch.export,NettyDataQueue,24,0,0,0,11,0,8,0,8,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch.entrance,CollectServer,154,0,10,0,34,0,12,0,7,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch.entrance,CollectServer.CollectNettyEventListener,114,0,2,0,40,0,6,0,5,0
hertzbeat-collector,org.dromara.hertzbeat.collector.collect.common.http,CommonHttpClient,15,114,1,1,7,35,2,3,1,3
hertzbeat-collector,org.dromara.hertzbeat.collector.collect.common.http,CommonHttpClient.new X509TrustManager() {...},42,3,10,0,9,1,8,1,3,1
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,DispatchProperties.ExportProperties.KafkaProperties,30,0,0,0,12,0,7,0,7,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,MetricsCollect,1384,0,166,0,214,0,129,0,46,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,DispatchProperties.EntranceProperties,10,0,0,0,4,0,3,0,3,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,MetricsCollectorQueue,26,0,0,0,7,0,4,0,4,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,DispatchProperties.EntranceProperties.NettyProperties,44,0,0,0,18,0,11,0,11,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,DispatchProperties,17,0,0,0,7,0,5,0,5,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,DispatchProperties.ExportProperties,10,0,0,0,4,0,3,0,3,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,WorkerPool,59,0,2,0,19,0,7,0,6,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,CommonDispatcher.MetricsTime,155,0,24,0,5,0,23,0,11,0
hertzbeat-collector,org.dromara.hertzbeat.collector.dispatch,CommonDispatcher,916,0,86,0,204,0,57,0,14,0
hertzbeat-collector,org.dromara.hertzbeat.collector.collect,AbstractCollect,0,3,0,0,0,1,0,1,0,1
hertzbeat-collector,org.dromara.hertzbeat.collector.collect.jmx,JmxCollectImpl,469,0,56,0,105,0,37,0,9,0
